Genetic_ID	Original_Group	Clean_Group	Locality	Publication	Assessment	Italian_Split_Status	Decision	Reason
GREEKGRALPOP17.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP18.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP3.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP4.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP5.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP8.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
GREEKGRALPOP9.HO	Greek	Greek	Thessaloniki	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
NA17372.HO	Greek	Greek	Greece, modern	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
NA17373.HO	Greek	Greek	Greece, modern	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
NA17375.HO	Greek	Greek	Greece, modern	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
NA17376.HO	Greek	Greek	Greece, modern	LazaridisKrauseNature2014	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
S_Greek-2.DG	Greek	Greek	Greece, modern	LazaridisKrauseNature2014	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01149.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01151.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01152.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01153.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01155.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01156.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01157.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01171.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01172.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01173.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01174.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01177.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
S_Bergamo-1.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
S_Bergamo-2.DG	Italian_North	Italian_Bergamo	Italy, modern 2	PattersonReichGenetics2012	PROVISIONAL_PASS	Mapped_by_existing_manifest	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP01147.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01151.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01152.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01153.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01155.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01156.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01157.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01171.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01172.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01173.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01174.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
HGDP01177.HO	Italian_North	Italian_Bergamo_candidate	Italy, modern 2	PattersonReichGenetics2012	Pass	Needs_ID_level_confirmation	REVIEW	Italian_North pooling unresolved at individual level
PG128.HO	Italian_Central	Italian_Central	Perugia Case Nuove (Umbria, Perugia)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_242.HO	Italian_Central	Italian_Central	Castiglion Fiorentino (Southern Tuscany, Arezzo)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_477.HO	Italian_Central	Italian_Central	Bettolle (Southern Tuscany, Siena)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_625.HO	Italian_Central	Italian_Central	Perugia (Umbria, Perugia)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_639.HO	Italian_Central	Italian_Central	Arezzo (Southern Tuscany, Arezzo)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_642.HO	Italian_Central	Italian_Central	Cupramontana (Marche, Ancona)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG2012_647.HO	Italian_Central	Italian_Central	Chiusi (Tuscany, Siena)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG470.HO	Italian_Central	Italian_Central	Ascoli Piceno (Marche, Ascoli Piceno)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG720.HO	Italian_Central	Italian_Central	Ascoli Piceno (Marche, Ascoli Piceno)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG722.HO	Italian_Central	Italian_Central	Fabriano (Marche, Ancona)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG723.HO	Italian_Central	Italian_Central	Perugia Montegrillo (Umbria, Perugia)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG731.HO	Italian_Central	Italian_Central	Montepulciano (Southern Tuscany, Siena)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG734.HO	Italian_Central	Italian_Central	Perugia (Umbria, Perugia)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG739.HO	Italian_Central	Italian_Central	Ca' De Cio (Southern Tuscany, Arezzo)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
PG775.HO	Italian_Central	Italian_Central	Perugia Stazione (Umbria, Perugia)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
VT035.HO	Italian_Central	Italian_Central	Bolsena (Northern Latium, Viterbo)	ReitsemaReichPNAS2022	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
ALP108.HO	Italian_North	Italian_North_unresolved	Treviso (Veneto, Treviso)	ReitsemaReichPNAS2022	Pass	Needs_locality_review	REVIEW	Italian_North pooling unresolved at individual level
ALP134.HO	Italian_North	Italian_North_unresolved	Cremona (Lombardy)	ReitsemaReichPNAS2022	Pass	Needs_locality_review	REVIEW	Italian_North pooling unresolved at individual level
