Population_1	Population_2	Primary_Hudson_FST	Strict_Hudson_FST	Strict_minus_primary	Absolute_change	Primary_SE	Strict_SE	Primary_SNPs_used	Strict_SNPs_used
Jew_Turkish	Lebanese	0.003851796946552487	0.003851796946552487	0.0	0.0	0.00039656307429720695	0.00039656307429720695	168622	168622
Jew_Turkish	Lebanese_Christian	0.003284855706867514	0.003284855706867514	0.0	0.0	0.0004941959254652551	0.0004941959254652551	168233	168233
Jew_Turkish	Lebanese_Muslim	0.0024205003354741106	0.0024205003354741106	0.0	0.0	0.00040915142229581975	0.00040915142229581975	171409	171409
Jew_Turkish	Maltese	0.003375297717429961	0.003375297717429961	0.0	0.0	0.0004863969457409108	0.0004863969457409108	167550	167550
Jew_Turkish	Sicilian	0.001514533263680683	0.001514533263680683	0.0	0.0	0.00043301277801101735	0.00043301277801101735	170152	170152
Lebanese	Lebanese_Christian	0.0025603343431141764	0.0025603343431141764	0.0	0.0	0.00047038571103357303	0.00047038571103357303	168956	168956
Lebanese	Lebanese_Muslim	0.00212047306374759	0.00212047306374759	0.0	0.0	0.00039147716549574275	0.00039147716549574275	171817	171817
Lebanese	Maltese	0.00586626158891908	0.00586626158891908	0.0	0.0	0.0005714138281193172	0.0005714138281193172	168595	168595
Lebanese	Sicilian	0.004816982050724888	0.004816982050724888	0.0	0.0	0.0005514568441480176	0.0005514568441480176	171074	171074
Lebanese_Christian	Lebanese_Muslim	0.0016241650946449376	0.0016241650946449376	0.0	0.0	0.0004958853705530705	0.0004958853705530705	171458	171458
Lebanese_Christian	Maltese	0.005712439316390048	0.005712439316390048	0.0	0.0	0.0005404306076652988	0.0005404306076652988	168322	168322
Lebanese_Christian	Sicilian	0.0038578475509286943	0.0038578475509286943	0.0	0.0	0.00031445658289729024	0.00031445658289729024	170597	170597
Lebanese_Muslim	Maltese	0.004647353003313434	0.004647353003313434	0.0	0.0	0.0005002710584095485	0.0005002710584095485	171490	171490
Lebanese_Muslim	Sicilian	0.003207791723043443	0.003207791723043443	0.0	0.0	0.0005174999264027316	0.0005174999264027316	173175	173175
Maltese	Sicilian	0.003034987169216139	0.003034987169216139	0.0	0.0	0.0004145039509853276	0.0004145039509853276	170080	170080
