Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
strict_pass	Druze	Italian_Bergamo	0.011888072768402848	0.00033413381934787977	0.011233170482481004	0.012542975054324692	179728	104431	626.7989467109079	52725.02607629292	22
strict_pass	Druze	Italian_Central	0.008684473355791906	0.00025570955319440095	0.00818328263153088	0.009185664080052933	180287	104995	458.41539264860387	52785.62946397601	22
strict_pass	Druze	Italian_North	0.010813351376674182	0.0002175018165117244	0.010387047816311203	0.011239654937037161	180528	103649	570.8978451919761	52795.643580349904	22
strict_pass	Druze	Italian_South	0.00833994931297057	0.0002350425104230785	0.007879265992541337	0.008800632633399804	180989	106774	440.22483531184645	52785.07324105602	22
strict_pass	Druze	Italian_Tuscan	0.010165448963909383	0.0004245110261588794	0.00933340735263798	0.010997490575180787	178590	100841	536.8478537365556	52811.03231569391	22
strict_pass	Druze	Jew_Ashkenazi	0.011308847559640666	0.0003109914938550891	0.010699304231684692	0.01191839088759664	178812	103692	599.692672930093	53028.628228246096	22
strict_pass	Druze	Jew_Iraqi	0.010508049930358948	0.00045150840528572755	0.009623093455998922	0.011393006404718974	178327	101326	556.6004382408071	52968.95636484608	22
strict_pass	Druze	Jew_Turkish	0.006863888526638718	0.00037111465221764336	0.006136503808292137	0.007591273244985299	179188	107194	363.67822718087143	52984.28518607754	22
strict_pass	Druze	Jew_Yemenite	0.015842872286019164	0.0003713017092655354	0.015115120935858714	0.016570623636179612	179310	99227	845.8945890339908	53392.7544047973	22
strict_pass	Druze	Lebanese	0.006863981781452725	0.000432218080572638	0.006016834343530355	0.007711129219375096	179508	107527	365.91136432165666	53308.90669179682	22
strict_pass	Druze	Lebanese_Christian	0.006631076919224345	0.00028849763625298945	0.006065621552168486	0.007196532286280204	179079	108094	350.781407143971	52899.61365506267	22
strict_pass	Druze	Lebanese_Muslim	0.005981040160391922	0.0003418410536473717	0.005311031695243073	0.006651048625540771	180040	109996	318.0133931757064	53170.248760688446	22
strict_pass	Druze	Maltese	0.009409876150662393	0.00036062734977745253	0.008703046545098587	0.0101167057562262	179305	104830	499.43114906203596	53075.20960590744	22
strict_pass	Druze	Palestinian	0.009309212115534071	0.00025977169810927964	0.008800059587239882	0.00981836464382826	183339	101250	498.61052824189323	53560.9804625542	22
strict_pass	Druze	Sicilian	0.00812834892413215	0.000329529108191165	0.007482471872077467	0.008774225976186833	179714	106608	430.29640277375074	52937.737637744525	22
strict_pass	Greek	Italian_Bergamo	0.0021158003218546585	0.00019884651754678955	0.001726061147462951	0.0025055394962463663	173201	110368	110.10420172897105	52039.0325077824	22
strict_pass	Greek	Italian_Central	0.0011326390032087524	0.00022597295490348857	0.0006897320115979149	0.00157554599481959	174980	110243	59.14307689137667	52217.05832469574	22
