Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Italian_South	Lebanese_Christian	0.004411253399343047	0.0004963275899249901	0.0034384513230900663	0.005384055475596027	175085	109549	232.30017054852473	52660.808509236944	22
primary	Italian_South	Lebanese_Muslim	0.0038342381740608207	0.00031205852207516526	0.0032226034707934967	0.004445872877328144	176836	112329	202.96492376333381	52934.87638207273	22
primary	Italian_South	Maltese	0.0041119880460543145	0.00039730666756731696	0.0033332669776223733	0.004890709114486256	175104	109353	216.58680440087028	52672.0413520408	22
primary	Italian_South	Palestinian	0.010754299359391643	0.00022212568358036903	0.01031893301957412	0.011189665699209166	183190	96029	574.3626926798438	53407.727782680464	22
primary	Italian_South	Sicilian	0.0016902305835936446	0.0002115651568527021	0.0012755628761623485	0.0021048982910249407	175868	113826	88.69622496240298	52475.81355073079	22
primary	Italian_Tuscan	Jew_Ashkenazi	0.02239242377304382	0.0005889993301372412	0.02123798508597483	0.023546862460112814	164531	93211	1177.8184410932781	52598.970662173044	22
primary	Italian_Tuscan	Jew_Iraqi	0.042986490686885405	0.0005888031982194437	0.04183243641837529	0.044140544955395516	163262	76273	2270.630506855038	52821.95570218475	22
primary	Italian_Tuscan	Jew_Turkish	0.01950688432712033	0.0006351824237673767	0.01826192677653627	0.02075184187770439	166402	89975	1026.8357463700493	52639.65937104801	22
primary	Italian_Tuscan	Jew_Yemenite	0.045101575513799216	0.0007222316906510424	0.04368600140012317	0.04651714962747526	167269	77940	2407.360089736475	53376.407859630584	22
primary	Italian_Tuscan	Lebanese	0.02269740393961517	0.00048688077827241854	0.021743117614201227	0.02365169026502911	167802	88153	1206.1714458267895	53141.38343908066	22
primary	Italian_Tuscan	Lebanese_Christian	0.02158099861154616	0.0005647115628141875	0.020474163948430355	0.022687833274661968	167122	85860	1136.8414794325613	52677.89039309487	22
primary	Italian_Tuscan	Lebanese_Muslim	0.020900043411370663	0.0004224640988553647	0.02007201377761415	0.021728073045127177	170579	92998	1106.6809786303036	52951.13301191585	22
primary	Italian_Tuscan	Maltese	0.019839925553646696	0.0005767201098557547	0.018709554138329417	0.020970296968963974	166448	89643	1043.8143838511169	52611.80950647557	22
primary	Italian_Tuscan	Palestinian	0.02830581536165287	0.00034910840809323834	0.027621562881790122	0.028990067841515615	182499	76014	1513.2036784751717	53459.1093434876	22
primary	Italian_Tuscan	Sicilian	0.017462271136775367	0.0004033767244823164	0.016671652756790025	0.01825288951676071	168841	94049	915.2839257933236	52414.94182653853	22
