panel	K	Ashkenazi_population	comparator	component_euclidean_distance	rank	source
strict_pass	9	Jew_Ashkenazi	Jew_Turkish	0.1337605304993256	1	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Maltese	0.1514142525833694	2	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Sicilian	0.18812476000540454	3	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Cypriot	0.20346535408958014	4	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Italian_South	0.25076809032668923	5	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Italian_Central	0.35424927447959864	6	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Greek	0.41607940097265994	7	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Lebanese_Muslim	0.4305071973621677	8	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Lebanese	0.4472082911941677	9	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Lebanese_Christian	0.4789533234387607	10	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Italian_Tuscan	0.558435385519505	11	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Jew_Iraqi	0.6000749109832716	12	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Palestinian	0.6100521256222867	13	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Italian_Bergamo	0.6310178226855544	14	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Italian_North	0.6433746597918762	15	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Druze	0.6655764028298059	16	aligned_replicate_consensus
strict_pass	9	Jew_Ashkenazi	Jew_Yemenite	1.1149316373838498	17	aligned_replicate_consensus
primary	10	Jew_Ashkenazi	Maltese	0.02314027840252851	1	aligned_replicate_consensus
primary	10	Jew_Ashkenazi	Sicilian	0.047882941604859335	2	aligned_replicate_consensus
primary	10	Jew_Ashkenazi	Italian_South	0.059649379014834844	3	aligned_replicate_consensus
primary	10	Jew_Ashkenazi	Jew_Turkish	0.06816675809972388	4	aligned_replicate_consensus
